speaker_tag	text	sentiment_score
1	to have hard off them high	
3	Welcome back Stoner. Welcome back to another episode of I'm too - hi. This is the podcast where we get comedians high and have them do comedic challenges to try to prove the marijuana makes everything funnier. That's the goal. We're here to help normalize cannabis. Do the language of comedy and we have got some really really funny comedians here today that are going to and they're high. I watched it with my own eyes. I watch them get high and oh, let me introduce myself. I'm the very high host James mastriani and with me as always is my co-host here DJ Blue Dream smoke smoke smoke. smoke smoke weed Smoke weed everyday. That was beautiful. How you feeling DJ Blue Dream. Good good. Yeah pretty high. Yeah me too pretty high me too. We up the times when we record this podcast, we do several episodes in a row and this is episode number 2 of 3, sorry audience to reveal how the sausage is made. But this is what we do and then we get Fucking six hours straight some people just stop listening sequentially recorded podcast. Ha ha not only is this a podcast guys, but we also do live shows and we do the first Saturday of every month at midnight at the Upright Citizens Brigade on Franklin. We've got one coming up on June 1st. Definitely check that out. It's a blast it's seven bucks get tickets online at UCB theater, or you could check out our website. I'm to f And high.com, we've got merchandise. We've got information about the show about live shows. So check that shit out guys to come to a live show cause it's such a good time. Why don't we jump to this? First segment here? We told them what the show is right? I can't remember the first time. So I did we say what that I think is is I think he did. Yeah. Yeah. This is a shot guys don't know if this is the show where we get comedians high and have them do comedic challenge. You probably said it. I'm sorry. Oh, I don't care keep reminding me. I might need to say it again. Yeah, let's let's meet our guests first and then we'll jump to the first segment. He performs with the Harold team at the Upright Citizens Brigade bitching and also, Is and hosts this really really fun very ambitious show live show at the Upright Citizens Brigade called. Are you the to please welcome Xander Frost? Thank you for having me. Thanks for the this music to yeah to like be associated with me. Yeah how identify your Vibes? Yeah, cool. That's DJ blue dreams like real talent is like sticking a song. Ang go to a personality. Okay. Yeah, so he reads it out perfectly. He's never been wrong. It's a really good job to have this is like a good spot to be for us for his talent. Oh, yeah. Yeah. He I mean like he gets he gets huge gigs doing that. Really crazy. Huge NBA games. Yeah. Yeah. Yeah. Yeah. Yeah, so I always ask this question every guest what? And this is your first time on the show, right? Yes it is. Thank you for having me. Yeah for sure what so so what is your relationship currently to? Marijuana? I think I'm I'm not smoking very often great. I think I smoke. I don't smoke by myself. Really? Yeah right now, I think I like smoke I think on average probably like I get high like once every five to six weeks right now. Okay, I would say great smoke weed very rarely. Yeah, but that doesn't mean they're like, there's been times where I've smoked. T' more than a lot your yeah, so it's like it's just like right now sort of where I'm at. I guess. Yeah. Hey relationships. They change true row. They yeah then and who knows maybe maybe you will develop that relationship more sometime or yeah, I don't know. I mean, my whole thing is I only smoke at night. Okay, that's like my business. I guess now it's evening. Yeah fine. But like I only I generally like I only smoke when the sun is down. I don't want to like affect my productivity. I feel like I'll get like lost. So yeah, I got that if I did that's a good rule. Yeah, so that's like my purse. That's my have you ever woken bouck. Have you here awake then back in college and yeah a lot. Yeah a lot. It's a good time to do it. Yeah, it's fun. Yeah, I guess in your 30s is good time to wake and bake to I guess all the time anytime anytime were you're not like about to go operate heavy machinery? Yeah, of course as long as yeah and how high are you right now in a scale of? 210 Freddie I'm like a seven or an eight. I'm pretty perfect pretty great right now. Perfect. Yeah. Awesome. Yeah. Thanks for being here. Well, thank you so much Rob. Yeah and back on this show and she also produces and hosts the show are you the to and she performs weekly with the Harold team Yeti at the Upright Citizens Brigade, please welcome Vic Michaelis.	
1	But you pick for me. No, this is my song.	
3	Oh shit. I got the wrong song.	
1	Oh my God. I kind of liked it.	
3	We said her name again. Yeah. Sure. Sorry about that. Sorry accidentally squeezed anything.	
1	Can we go back Vic Michaelis? Oh, no DJ Blue Dream breaking Trust.	
3	As he's playing that song you're just like at doing pratfalls all over the place.	
1	I feel like well, yeah, you got it. That's it. Yeah. Yeah. Thanks so much for having me.	
3	Yeah, welcome back. Welcome back.	
1	Thank you. Good day. Good to be back.	
3	Yeah, and you are or your relationship to marijuana is what I mean not super often at this point.	
1	I'm a really bad sleeper. For a while that was kind of my thing was like, oh, you know, it'll help me sleep a little bit, but I was just finding that like I'd have very very vivid dreams, which wasn't great. Okay, wake up exhausted right? So I stop that but yeah, I don't know occasionally.	
3	That's so interesting because for a lot of people like marijuana makes them not remember their dreams. Eames yeah, he's yeah, everybody's brain chemistry so different so you're not using it to sleep anymore. No, so do you ever tried CBD or a one-to-one?	
