speaker_tag	text	sentiment_score
3	All right, everybody. Welcome back to the best out of their day Fern here. I'm with I'm with arguably my favorite person to work with. Mr. Joe Joe no pain. No gain. He's a Flowmaster. They owns an affiliate up in Michigan CrossFit. 8:01 or Z8. 108.	
1	108 108 one. It's eight one eight one zero, but the telephone exchange up here is 8 1 is 8 1 0 but so with the All eight oneuldo and how they call them the Flint area.	
3	Yeah, so but no like I Jojo and I every time I see like a seminar listen Jose on there. Like I know I'm in for a good evenings discussion about affiliate ownership and coaching and all that stuff. So Joe is currently on a walk right now in Flint Michigan where the for the temperature is currently 15 degrees. So if you're feeling bad for yourself stop because Joe is sucking it up.	
1	You don't go Yeah, no excuses. You got to get you got to get your activity and right that's why they call it.	
3	That's why I call you no pain to game dude.	
1	Yeah. Yeah, we have had some good talks over the over. There are few years here about the rabbit hole of affiliate ownership. He's usually what the top goes down.	
3	And that's I think that's largely where this is gonna go is kind of maybe we'll do some dues. Maybe we'll cover some don'ts and but I what the reason I've always enjoyed. Talking to you is because I feel like you're kind of like me in the sense that you're always kind of toying with things and always playing around with new ideas. And you're very much not what I would describe as risk-averse like you like to try things even if they don't work out which I think is which is probably the mark of a true entrepreneur I would imagine I don't know if you would categorize yourself that way or not.	
1	Yeah. Yeah. Yeah. I'm always I guess I guess it's That pursuit of virtuosity ride just ride just always trying to Tinker and fix things and move forward and you have to do them. You know, you don't what do we always say like, you don't have to start right? You just have to start so start making the action happen and then start adjusting from there to make it fit your mold or whatever it's going to be. But yeah, I've made quite a few changes over the years. You're right. How many years? Have you had your fill it? We we have been open nine and a half years.	
3	I knew it was coming up on ten.	
1	Yeah, and then we got we were fortunate enough to go out to the 10-year affiliate gathering in Whistler. And yeah, we talked a little bit out there that 10-year Affiliated. I know you were out there and Jason was and yeah, but we got so we got a special little we got we would they snuck us into the side door because we were only nine and a half years and but that's what I feel like they're resilient.	
3	25 I think it's all a lot of affiliate owners feel. What was your I guess like did you have a take away from the summit? Like what gives her something you want from the affiliate owner Summit? Like what was there? Is there something you walked away from and you're just like, okay. I dig that or it's something I didn't know before.	
1	You know, I think it's always great to get that chance to jump inside coach glassman's head and just see what in the world is going on in there because he you know over the years. He's made a lot of decisions for CrossFit headquarters that sometimes the community has or has not agreed with and when we look back over the years at a majority of those decisions, I think all of them like not nothing no decisions. He has made have been Decisions, they might have felt odd at the time but but looking back yet the affiliate community in the CrossFit Community always comes out smelling like a rose. So I think this just seeing you remember that little web he made on the at the affiliate Gathering about like where we are now, so we got there and it was it was like the ball of like, what are you describing?	
3	It was like this basically so Matt if you're Trying to visualize this so it's just imagining you had like this big ball of yarn that was not like put together in any it's just like this big Clump in here just like that looks like a mess. And what was it? What was his how do you describe that? It was just like listen, he was like, it doesn't really matter like what the path was for how we got here. Is that was that what it was? I don't know how you describe.	
1	Yeah that yeah, that's what it was. And yeah, that's basically made it was this big shift from you know, the competition side of things to the health and wellness shift and it was It was just kind of neat to see the timeline of events of items that happened events that happen in coach glassman's life to kind of lead us to this new lens of CrossFit that is still definitely focused on games and competitiveness, but but it but it definitely lessened the focus of it and made a bigger Focus towards health and wellness and it was kind of neat. I think just to hear coach glassman's reasoning as to how we got there and I think a lot of it You know only only some 10 years affiliate owners can understand that scope for that lens because a lot of times when you get into a filly ownership in the beginning I know in the when I did, you know, I was I was a big competitor and I was thinking competitive competitive competitive and it wasn't the only thing driving my business in the very very beginning. I definitely wanted to help out the normal population, but selfishly driven I was a competitor and and over Years, you start to realize like that's not how you keep your doors open. So it's kind of neat to see how coach Glassman shifted the whole lens of the organization how he got there through to these steps.	
3	So I think they're gonna release that talk soon. But So for anybody was wondering kind of what we're talking about. He kind of went through this chronological kind of slides of just like dates like this significant dates within the past. I think it was like within the past like three or four years as far as like meeting with people significant things shifts that the company has made the new website when they came off social media and all that stuff and he and like Joe subscribe and he kind of walked everybody through his through the cycle of why he did things and I know it's a lot of people don't disagree a lot of people disagree with certain things. He did. However good news on the social media front CrossFit training is back on Instagram. So if you are not following them, you need to go follow at CrossFit training on Instagram, right? Now stop this podcast go search it follow it. So I was really stoked because I think that came back on like Monday or Wednesday or Tuesday this week.	
1	So yeah, I saw that and that was really exciting very exciting ice and I also think I read somewhere that they gave as soon as they came back on the game like almost 10,000 new followers as soon as they came back onto Instagram and they had all their it was the same platform. They had before look like it was just paused.	
