text	sentiment_score
It's like we're on a schedule like I'm not doing this. Us for kicks like we have to catch the bus if you miss the bus it fuck's up my entire day.	-1.0
Yeah, so we go tomorrow and then we stay there and then we're there Thursday, I think so. It's going to be a little bit stressful. They're not going to have as much time together as they usually would but she can be fine.	1.0
It's a small and its really small is like not even the half of this what we're in right now is like 90 square meters with the with the with the with the toilet and changing of the aisle. There's no if there's not no not even a changing room magnet. Yeah. I think you're not gonna sign up to us. So we started In our community are majority of our members are back then are our church members.	-1.0
Harry Rouse any more poems on the horizon what has happened to my YouTube channel? Yes on YouTube at the old golden black and on black on Twitter the old gold 1877 and there's a podcast as well. Cold rice and are four of the bottom. I enjoy it.	1.0
No use a fucking bucket or a trash pan. You don't have a dedicated piece that you you you fucking use it. You gotta get it. It's not dedicated. It's your fucking vomit bull house it a dedicated. What else do you use it? We have as much out of it.	-1.0
So we appreciate It well, thank you. You're welcome. And thank you as well and we'll be in touch sounds good.	1.0
I'd like to officially blame Miley Cyrus in her costume designers.	-1.0
Okay. Well, who knows that a funny story It's gotta be appropriate.	1.0
Yeah, I don't I don't why?	-1.0
You see did I would talk about behavior all day, huh? She's like hey really reinforce this did I reinforce it Leah.	1.0
It's like better than alarm clock. Well, that's a gift that keeps on giving then that's the gift that they've given you. Pure unadulterated anger anger.	-1.0
Yeah. Well, I mean hearing what happened. I don't think he will be but nah, it's not good that but and we and we well, we've always said that touch wood so far.	-1.0
They're going to just think that you're really stupid exactly.	-1.0
I like we have bags of Twizzlers are Twizzlers. Kosher. Yes. The question they are Kosher or else I wouldn't be representing them. Okay, they are I just want to double-check keep you on track hold you accountable. Thank you so much. So for today's episode, I think it's really interesting. And yeah that I miss anything about you before I keep going.	1.0
I'm sorry.	-1.0
You know, I think that Doing things at an extreme measure like trying to do everything all at once can be paralyzing. Let's say like it's decision paralysis when you tell somebody I want you to do an hour of cardio a day. I want you to count your calories. I want you have this much water. I want you to sleep this wedge apple cider vinegar. I want you to have 30 25 to 35 grams of fiber at least 1 gram of protein per pound of body weight. If you throw too much shot them they kind of get like get stuck it in there. Yeah, so I try to give them a smart goals something that's specific something that's measurable. All something that's realistic attainable the timely and example of a smart goal is I want you to lose four pounds in four weeks. I want you to track your water intake. I want you to track your way and every single day and then at the end of each week take the average of your weight and the compared to the next and to the next so it's like once I hear yeah, you're not you're not looking day-to-day measurements. You're looking at weekly measurements and on average. So you get a general idea of where your weight is. Actually that's kind of like stocks, you know goes up it goes down. But where is the general Trend going, you know? A lot of fluctuations that people have our water weight fluctuations. You have salt you have sugar you have alcohol you have menstruation. You have stress. You have sleep. You have so many things fiber that affect your water weight at that particular point. So it's important to take your weigh-ins average them out compared to the next week. So you get a general idea. Am I really losing weight and my maintaining what's the rate at my loser? Because you can lose the to 3 pounds a day go in the sauna cut your car. Yeah, you know eat clean and that's just a lot of water weight. Illusion, but if you're talking about fat loss fat loss takes time. Yeah about 1 pound per week. Gotcha.	-1.0
Yeah are enough. What is a bad piece of advice or a recommendation that you've heard in the home staging industry a piece of advice something for for people to maybe avoid or at least if they hear this some advice from that you would consider not be the best advice something that they would at least be a bit critical when they think about it.	0.0
Hold back.	0.0
I mean, yeah, and I would know when she was trying to pull her behavior tactics on me to she was not as sneaky as she thought but that's like I like the car.	1.0
